Address,City,State,Zip
707 ELLSWORTH AVE,IOWA FALLS,IA,50126
1124 UNION ST,IOWA FALLS,IA,50126
1510 WASHINGTON AVE,IOWA FALLS,IA,50126
407 1ST ST,LITTLE SIOUX,IA,51545
"111 N 2ND AVE, 3RD FLOOR",LOGAN,IA,51546
605 E LINCOLN HIGHWAY,MISSOURI VALLEY,IA,51555
605 E LINCOLN HWY,MISSOURI VALLEY,IA,51555
3833 296TH ST,PERSIA,IA,51563
206 POLK ST,PISGAH,IA,51564
1102 IOWA AVE,DUNLAP,IA,51529
200 MAPLE STREET,MONDAMIN,IA,51579
"111 N 2ND AVE, 3RD FLOOR",LOGAN,IA,51546
704 NORMAL ST,WOODBINE,IA,51579
704 NORMAL ST,WOODBINE,IA,51579
108 E HALEY ST,MODALE,IA,51556
204 E 6TH ST,LOGAN,IA,51546
400 N. ADAMS ST.,MOUNT PLEASANT,IA,52641
801 E. HENRY ST.,MOUNT PLEASANT,IA,52641
600 N. MAIN ST.,MOUNT PLEASANT,IA,52641
501 S. CORKHILL ST.,MOUNT PLEASANT,IA,52641
2104 S. GRAND AVE.,MOUNT PLEASANT,IA,52641
208 S. OLIVE ST.,WINFIELD,IA,52659
706 N. PEARL ST.,WAYLAND,IA,52654
106 W. WILSON ST.,NEW LONDON,IA,52645
201 S. MAIN ST.,SALEM,IA,52649
701 BUSTI AVE,ELMA,IA,50628
14258 45TH ST,LIME SPRINGS,IA,52155
100 SCHROEDER DR,CRESCO,IA,52136
100 SCHROEDER DR,CRESCO,IA,52136
100 SCHROEDER DR,CRESCO,IA,52136
912 WOODLAND AVE,RICEVILLE,IA,50466
100 SCHROEDER DR,CRESCO,IA,52136
14258 45TH ST,LIME SPRINGS,IA,52155
100 SCHROEDER DR,CRESCO,IA,52136
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
612 2ND AVE N,HUMBOLDT,IA,50548
403 BARNES ST.,IDA GROVE,IA,51445
403 BARNES ST.,IDA GROVE,IA,51445
519 E MAPLE ST,HOLSTEIN,IA,51025
519 E MAPLE ST,HOLSTEIN,IA,51025
403 BARNES ST.,IDA GROVE,IA,51445
403 BARNES ST.,IDA GROVE,IA,51445
403 BARNES ST.,IDA GROVE,IA,51445
461 WASHINGTON ST,MILLERSBURG,IA,52316
765 W BROAD ST,NORTH ENGLISH,IA,52316
2383 RAIDER DR,WILLIAMSBURG,IA,52361
710 2ND ST,VICTOR,IA,52347
710 2ND ST,VICTOR,IA,52347
235 E HILTON ST,MARENGO,IA,52301
235 E HILTON ST,MARENGO,IA,52301
3023 220TH TRAIL,MIDDLE AMANA,IA,52307
235 E HILTON ST,MARENGO,IA,52301
2383 RAIDER DR,WILLIAMSBURG,IA,52361
2383 RAIDER DR,WILLIAMSBURG,IA,52361
100 S 3RD ST,BELLEVUE,IA,52031
430 FERRY RD,MILES,IA,52064
411 BROAD ST,SABULA,IA,52070
1003 PERSHING RD,MAQUOKETA,IA,52060
126 S 2ND ST,MAQUOKETA,IA,52060
600 W WASHINGSTON ST,MAQUOKETA,IA,52060
600 W WASHINGTON ST,MAQUOKETA,IA,52060
200 E LOCUST ST,MAQUOKETA,IA,52060
100 MAIN ST,ST DONATUS,IA,52071
523 ELM ST,LA MOTTE,IA,52054
21701 HILL DR,BERNARD,IA,52032
108 E WASHINGTON ST,MONMOUTH,IA,52309
13 S MARION ST,ANDREW,IA,52030
400 W QUARRY ST,MAQUOKETA,IA,52060
101 E MAIN ST,SPRINGBROOK,IA,52075
321 W SCHOOL ST,PRESTON,IA,52069
200 E RAILROAD ST,MINGO,IA,50168
204 N LEAGUE RD,COLFAX,IA,50054
204 N LEAGUE RD,COLFAX,IA,50054
20 W BROADWAY ST,COLFAX,IA,50054
503 S STATE ST,PRAIRIE CITY,IA,50228
12476 1ST ST,SULLY,IA,50251
400 E HWY 163,MONROE,IA,50170
417 FRONT ST,KELLOGE,IA,50135
203 S MAIN ST,BAXTER,IA,50028
20 W BROADWAY ST,COLFAX,IA,50054
1302 FIRST AVE. W,NEWTON,IA,50208
1900 N 5TH AVE E,NEWTON,IA,50208
700 N 4TH AVE E,NEWTON,IA,50208
1900 N 5TH AVE E,NEWTON,IA,50208
800 E 4TH ST S,NEWTON,IA,50208
310 E 23RD ST S,NEWTON,IA,50208
801 S 8TH ST W,NEWTON,IA,50208
800 E 4TH ST S,NEWTON,IA,50208
103 THOMAS JEFFERSON RD,LAMBS GROVE,IA,50208
6232 HIGHWAY S74S,NEWTON,IA,50208
203 CHURCH ST,PACKWOOD,IA,52580
209 S. COURT ST.,FAIRFIELD,IA,52556
2606 W. BURLINGTON AVE.,FAIRFIELD,IA,52556
406 E. MADISON AVE.,FAIRFIELD,IA,52556
200 N. MAIN ST.,FAIRFIELD,IA,52556
209 S. COURT ST.,FAIRFIELD,IA,52556
200 N. MAIN ST.,FAIRFIELD,IA,52556
2606 W. BURLINGTON AVE.,FAIRFIELD,IA,52556
108 N. MAIN ST.,LIBERTYVILLE,IA,52567
304 ALTO ST.,BATAVIA,IA,52533
1174 REED AVE.,BRIGHTON,IA,52540
104 W. MAIN ST.,LOCKRIDGE,IA,52635
600 W. 5TH ST.,SOLON,IA,52333
313 S. IOWA ST.,SOLON,IA,52333
104 N PARK RD,TIFFIN,IA,52340
1301 5TH ST,CORALVILLE,IA,52241
1220 1ST AVE.,CORALVILLE,IA,52241
601 OAKDALE BLVD.,CORALVILLE,IA,52241
1401 5TH ST.,CORALVILLE,IA,52241
1507 8TH AVE.,CORALVILLE,IA,52241
180 W. FOREVERGREEN RD.,NORTH LIBERTY,IA,52317
2301 OAKDALE BLVD.,CORALVILLE,IA,52241
303 DEVOE ST. S,LONE TREE,IA,52755
4696 ROBIN WOODS LN NE,IOWA CITY,IA,52240
2009 400TH ST SW,OXFORD,IA,52322
110 MAIN ST,HILLS,IA,52235
1900 MORNINGSIDE DR.,IOWA CITY,IA,52245
2901 MELROSE AVE.,IOWA CITY,IA,52246
225 S GRAND AVE,IOWA CITY,IA,52240
225 S GRAND AVE,IOWA CITY,IA,52240
125 N MADISON ST,IOWA CITY,IA,52242
2701 BRADFORD DR.,IOWA CITY,IA,52240
2425 PRAIRIE MEADOW DR.,IOWA CITY,IA,52242
2901 MELROSE AVE.,IOWA CITY,IA,52246
2901 MELROSE AVE.,IOWA CITY,IA,52246
4213 SAND RD SE,IOWA CITY,IA,
93 E. BURLINGTON ST.,IOWA CITY,IA,52240
3571 SYCAMORE ST.,IOWA CITY,IA,52240
3109 OLD HWY 218 S,IOWA CITY,IA,52246
1550 S. 1ST AVE.,IOWA CITY,IA,52240
1355 DEFOREST AVE,IOWA CITY,IA,
830 SOUTHLAWN DR.,IOWA CITY,IA,52245
1900 MORNINGSIDE DR,IOWA CITY,IA,52245
2501 BRADFORD DR,IOWA CITY,IA,
220 S GILBERT ST,IOWA CITY,IA,52240
221 E. WASHINGTON ST.,IOWA CITY,IA,52240
125 N MADISON ST,IOWA CITY,IA,52240
21 E. MARKET ST.,IOWA CITY,IA,52242
2525 N. DODGE ST.,IOWA CITY,IA,52245
1355 BARRINGTON RD.,IOWA CITY,IA,52240
2863 120TH ST. NE,SWISHER,IA,52338
68 3RD ST. SE,SWISHER,IA,52338
301 MAIN ST,HILLS,IA,52235
4696 ROBIN WOODS LN NE,IOWA CITY,IA,52240
520 W CHERRY ST,NORTH LIBERTY,IA,
80 BIRCH ST,NORTH LIBERTY,IA,
230 N. DUBUQUE ST.,NORTH LIBERTY,IA,52317
170 ABIGAIL RD,NORTH LIBERTY,IA,
2230 SAINT ANDREWS DR,NORTH LIBERTY,IA,
520 W CHERRY ST,NORTH LIBERTY,IA,
230 WILSON ST.,OXFORD,IA,52322
1400 DUBUQUE ST. NE,NORTH LIBERTY,IA,52317
4643 AMERICAN LEGION RD.,IOWA CITY,IA,52240
301 MAIN ST,HILLS,IA,52235
313 S. IOWA ST.,SOLON,IA,52333
4810 MELROSE AVE,IOWA CITY,IA,52246
600 KOSER AVE,IOWA CITY,IA,
1592 ANGLE RD SW,KALONA,IA,
3109 OLD HWY 218 S,IOWA CITY,IA,52246
410 OLD DUBUQUE RD,ANAMOSA,IA,52205
600 E MAIN ST,ANAMOSA,IA,52205
766 N MAPLE ST,MONTICELLO,IA,52310
600 E 1ST ST,ANAMOSA,IA,52205
202 SOUTH ST,MARTELLE,IA,52305
220 WELTER DR,MONTICELLO,IA,52310
800 N MAPLE ST,MONTICELLO,IA,52310
850 E OAK ST,MONTICELLO,IA,52310
850 E OAK ST,MONTICELLO,IA,52310
115 E BROADWAY,OXFORD JUNCTION,IA,52323
220 WELTER DR,MONTICELLO,IA,52310
212 TRILBY ST,OLIN,IA,52320
105 MAIN ST,ONSLOW,IA,52321
130 W MAIN ST,WYOMING,IA,52362
3003 IA-22,KESWICK,IA,50136
109 N MAIN ST,HEDRICK,IA,52563
907 E. PLEASANT VALLEY ST.,SIGOURNEY,IA,52591
401 BROADWAY ST,SOUTH ENGLISH,IA,52335
100 MAIN ST,RICHLAND,IA,52585
225 E BROADWAY AVE,KEOTA,IA,52248
3003 IA-22,KESWICK,IA,50136
100 MAIN ST,RICHLAND,IA,52585
720 E JACKSON ST,SIGOURNEY,IA,52591
10 N MAIN ST,SIGOURNEY,IA,52591
615 S. JEFFERSON ST.,SIGOURNEY,IA,52591
907 E PLEASANT VALLEY ST,SIGOURNEY,IA,52591
22400 220TH AVE.,SIGOURNEY,IA,52591
104 N 2ND ST,DELTA,IA,52550
308 SOUTH BARNES ST.,WHAT CHEER,IA,50268
729 E. KENNEDY,ALGONA,IA,50511
600 S HALE ST,ALGONA,IA,50511
600 S HALE ST,ALGONA,IA,50511
108 S HALL STREET,ALGONA,IA,50511
400 1ST ST,BURT,IA,50522
400 1ST ST,BURT,IA,50522
600 S HALE ST,ALGONA,IA,50511
600 S HALE ST,ALGONA,IA,50511
108 S HALL STREET,ALGONA,IA,50511
203 5TH ST N,SWEA CITY,IA,50590
411 BROAD ST,WHITTEMORE,IA,50598
505 E RAMSEY ST,BANCROFT,IA,50517
505 E RAMSEY ST,BANCROFT,IA,50517
205 BREWER ST,LAKOTA,IA,
2111 US-169,ALGONA,IA,50511
411 BROAD ST,WHITTEMORE,IA,50598
106 MAIN ST E,WESLEY,IA,50483
2111 US-169,ALGONA,IA,50511
106 MAIN ST E,WESLEY,IA,50483
2111 US-169,ALGONA,IA,50511
2642 HIGHWAY 218,DONNELLSON,IA,52625
501 10TH ST,FORT MADISON,IA,
1326 AVENUE E,FORT MADISON,IA,
2001 AVENUE B,FORT MADISON,IA,
4821 AVENUE O STE 4,FORT MADISON,IA,
3301 AVENUE L,FORT MADISON,IA,
506 N MAIN ST,DONNELLSON,IA,
3301 AVENUE L,FORT MADISON,IA,
3640 ARGYLE ROAD,KEOKUK,IA,52632
301 BLONDEAU STREET,KEOKUK,IA,52632
508 MAIN ST.,KEOKUK,IA,52632
116 N. 8TH ST.,KEOKUK,IA,52632
3476 MAIN STREET,KEOKUK,IA,52632
2002 ORLEANS AVE,KEOKUK,IA,
3476 MAIN STREET,KEOKUK,IA,52632
2940 DECATUR ST,KEOKUK,IA,
710 MAIN ST,MONTROSE,IA,
2001 AVENUE B,FORT MADISON,IA,
728 AVENUE G,FORT MADISON,IA,
6101 GIBSON DR NE,CEDAR RAPIDS,IA,52411
1700 BOYSON RD NE,CEDAR RAPIDS,IA,52402
901 E MAIN ST,ROBINS,IA,52328
9000 C AVE NE,MARION,IA,52302
9000 C AVE NE,MARION,IA,52302
4801 GOLF ST NE,CEDAR RAPIDS,IA,52402
220 40TH ST NE,CEDAR RAPIDS,IA,52402
3700 E AVE NE,CEDAR RAPIDS,IA,52402
1524 HOLLYWOOD BLVD NE,CEDAR RAPIDS,IA,52402
4545 WENIG RD NE,CEDAR RAPIDS,IA,52402
5925 SEMINOLE VALLEY TRAIL NE,CEDAR RAPIDS,IA,52411
4343 MARILYN DR NE,CEDAR RAPIDS,IA,52402
1635 LINMAR DR NE,CEDAR RAPIDS,IA,52402
2630 B AVE NE,CEDAR RAPIDS,IA,52402
2205 FOREST DR SE,CEDAR RAPIDS,IA,52403
300 20TH ST NE,CEDAR RAPIDS,IA,52402
700 16TH ST NE L100,CEDAR RAPIDS,IA,52402
50 2ND AVE BRIDGE,CEDAR RAPIDS,IA,52401
2500 EDGEWOOD RD NW,CEDAR RAPIDS,IA,52405
5200 E AVE NW,CEDAR RAPIDS,IA,52405
300 13TH ST NW,CEDAR RAPIDS,IA,52405
"""1220 1ST AVE NE"" CORNER OF COLLEGE DRIVE & MARV LEVY RD (WHERE D AVE WOULD BE)",CEDAR RAPIDS,IA,52402
355 18TH ST SE,CEDAR RAPIDS,IA,52403
2205 FOREST DR SE,CEDAR RAPIDS,IA,52403
50 2ND AVE BRIDGE,CEDAR RAPIDS,IA,52403
620 10TH ST SE,CEDAR RAPIDS,IA,52403
300 13TH ST NW,CEDAR RAPIDS,IA,52405
2200 1ST AVE NW,CEDAR RAPIDS,IA,52405
1211 WILEY BLVD SW,CEDAR RAPIDS,IA,52404
441 W POST RD NW,CEDAR RAPIDS,IA,52405
6225 1ST AVENUE SW,CEDAR RAPIDS,IA,52405
6225 1ST AVENUE SW,CEDAR RAPIDS,IA,52405
1243 20TH ST SW,CEDAR RAPIDS,IA,52404
1400 INSIPIRATION PL SW,CEDAR RAPIDS,IA,52404
1103 3RD ST SE,CEDAR RAPIDS,IA,52401
600 36TH ST SE,CEDAR RAPIDS,IA,52403
2736 BOWLING ST SW,CEDAR RAPIDS,IA,52404
2301 J ST SW,CEDAR RAPIDS,IA,52404
1243 20TH ST SW,CEDAR RAPIDS,IA,52405
153 CHERRY HILL RD NW,CEDAR RAPIDS,IA,52405
5338 JOHNSON AVE SW,CEDAR RAPIDS,IA,52404
4401 6TH ST SW,CEDAR RAPIDS,IA,52404
6301 KIRKWOOD BLVD SW,CEDAR RAPIDS,IA,52404
6301 KIRKWOOD BLVD SW,CEDAR RAPIDS,IA,52404
216 MAIN ST,FAIRFAX,IA,52228
150 9TH AVE,HIAWATHA,IA,52233
101 EMMONS ST,HIAWATHA,IA,52233
1770 BOYSON RD,HIAWATHA,IA,52233
1770 BOYSON RD,HIAWATHA,IA,52233
1400 10TH AVE,MARION,IA,52302
1225 6TH AVE,MARION,IA,52302
1350 4TH AVE,MARION,IA,52302
675 S 15TH ST,MARION,IA,52302
3555 10TH ST,MARION,IA,52302
2900 8TH AVENUE,MARION,IA,52302
2127 27TH ST,MARION,IA,52302
2301 50TH ST,MARION,IA,52302
2210 GRAND AVE,MARION,IA,52302
1700 BIG BLUESTEM DR,MARION,IA,52302
401 29TH AVE,MARION,IA,52302
4500 10TH ST,MARION,IA,52302
4901 ALBURNETT RD,MARION,IA,52302
4901 ALBURNETT RD,MARION,IA,52302
525 PALISADES RD SW,MOUNT VERNON,IA,52314
"600 1ST ST, MT VERNON, IA 52314",MOUNT VERNON,IA,52314
3275 NORTH CENTER POINT RD,CEDAR RAPIDS,IA,52411
4201 BIG BLUESTEM CIR,MARION,IA,52302
300 WEST AVE,PRAIRIEBURG,IA,52219
252 BROADWAY ST,SPRINGVILLE,IA,52336
4521 BOY SCOUT RD,CENTRAL CITY,IA,52214
5200 E AVE NW,CEDAR RAPIDS,IA,52405
401 78TH AVE SW,CEDAR RAPIDS,IA,52404
300 80TH ST CT,FAIRFAX,IA,52228
1006 1ST ST,PALO,IA,52324
235 W SCHOOL ST,LISBON,IA,52314
204 GREENE ST,WALKER,IA,52352
400 BARBER ST,CENTRAL CITY,IA,52214
310 VIRGIL AVE,MOUNT VERNON,IA,52314
137 N. 4TH ST,CENTRAL CITY,IA,52214
1954 COUNTY HOME ROAD,MARION,IA,52302
10260 MORRIS HILL RD,TODDVILLE,IA,52341
6101 GIBSON DR NE,CEDAR RAPIDS,IA,52411
131 ROOSEVELT ST,ALBURNETT,IA,52202
401 76TH AVE SW,CEDAR RAPIDS,IA,52404
3033 LYNX DR,TROY MILLS,IA,52344
613 SUMMIT ST,CENTER POINT,IA,52213
1212 COLTON ST,COLUMBUS JUNCTION,IA,52738
14506 170TH ST,GRANDVIEW,IA,52754
311 E DIVISION ST,MORNING SUN,IA,52640
501 BUCHANAN AVE,WAPELLO,IA,52653
1212 COLTON ST,COLUMBUS JUNCTION,IA,52738
501 N GRAND,CHARITON,IA,50049
501 N GRAND,CHARITON,IA,50049
501 N GRAND,CHARITON,IA,50049
110 E FRONT ST,LUCAS,IA,50151
501 N GRAND,CHARITON,IA,50049
106 W STANTON ST,RUSSELL,IA,50238
106 W STANTON ST,RUSSELL,IA,50238
103 S MAIN ST,INWOOD,IA,
117 S MAIN ST,GEORGE,IA,
103 S MAIN ST,INWOOD,IA,
1138 BROADWAY ST,LARCHWOOD,IA,
1138 BROADWAY ST,LARCHWOOD,IA,
117 S MAIN ST,GEORGE,IA,
405 S 2ND AVE,ROCK RAPIDS,IA,
405 S 2ND AVE,ROCK RAPIDS,IA,
110 W SOUTH ST,MACKSBURG,IA,50155
1146 W SUMMIT ST,WINTERSET,IA,50273
611 W HWY 92,WINTERSET,IA,50273
150 E 1ST ST,EARLHAM,IA,50072
305 W. MAIN ST,ST. CHARLES,IA,50240
150 8TH ST,PATTERSON,IA,50218
405 E NORTH ST,TRURO,IA,50257
404 S 2ND AVE,WINTERSET,IA,50273
404 S. 2ND AVE,WINTERSET,IA,50273
2163 135TH ST.,NEW SHARON,IA,50207
306 OTLEY ST.,LEIGHTON,IA,50143
525 E. MAIN ST.,FREMONT,IA,52561
1801 ORCHARD AVE.,OSKALOOSA,IA,52577
1816 N. 3RD ST.,OSKALOOSA,IA,52577
201 W. TRUEBLOOD AVE.,OSKALOOSA,IA,52577
1801 ORCHARD AVE.,OSKALOOSA,IA,52577
1704 N. 3RD ST.,OKALOOSA,IA,52577
1816 N. 3RD ST.,OSKALOOSA,IA,52577
2163 135TH ST.,NEW SHARON,IA,50207
2342 HIGHWAY 92,OSKALOOSA,IA,52577
300 MAIN ST.,HARVEY,IA,50119
214 S. MAIN ST.,MELCHER-DALLAS,IA,50062
1766 179TH PL.,PERSHING,IA,50138
407 W. LARSON ST.,KNOXVILLE,IA,50138
213 E MONTGOMERY ST,KNOXVILLE,IA,50138
306 S PARK LN,KNOXVILLE,IA,50138
1506 S ATTICA ROAD,KNOXVILLE,IA,50138
210 N IOWA ST,KNOXVILLE,IA,50138
812 UNIVERSITY ST,PELLA,IA,50219
2204 HIGHWAY G71,BUSSY,IA,50044
215 SUMMIT ST.,OTLEY,IA,50214
812 UNIVERSITY ST,PELLA,IA,50219
415 BROADWAY ST,PELLA,IA,50219
814 UNIVERSITY ST,PELLA,IA,50219
415 BROADWAY ST,PELLA,IA,50219
415 JONES ST.,PLEASANTVILLE,IA,50226
1032 VIRGINIA ST.,COLUMBIA,IA,50067
114 MAIN ST,LISCOMB,IA,50148
25 MAIN ST,MELBOURNE,IA,50162
1016 S 3RD AVE,MARSHALLTOWN,IA,51058
3700 S CENTER ST,MARSHALLTOWN,IA,50158
2001 S 4TH ST,MARSHALLTOWN,IA,50158
212 W INGLEDUE ST,MARSHALLTOWN,IA,50158
225 S ELM ST,GILMAN,IA,50106
1315 W MAIN ST,MARSHALLTOWN,IA,50158
209 S MAIN ST,LAUREL,IA,50141
206 N VINE ST,LE GRAND,IA,50142
202 BEVINS ST,CLEMONS,IA,50051
601 3RD ST NW,STATE CENTER,IA,50247
1710 WALLACE AVE,GREEN MOUNTAIN,IA,50632
1301 SUMMIT ST,MARSHALLTOWN,IA,50158
8 N 7TH ST,MARSHALLTOWN,IA,50158
105 W BOONE ST,MARSHALLTOWN,IA,50158
601 3RD ST NW,STATE CENTER,IA,50247
400 S MAIN ST,ALBION,IA,50005
3700 SOTH CENTER ST,MARSHALLTOWN,IA,50158
711 MORTON AVE,EMERSON,IA,51533
711 MORTON AVE,EMERSON,IA,51533
507 E SHARP ST,GLENWOOD,IA,51534
504 E SHARP ST,GLENWOOD,IA,51534
505 E SHARP ST,GLENWOOD,IA,51534
506 E SHARP ST,GLENWOOD,IA,51534
No data,No data,IA,
1505 E 15TH ST,MALVERN,IA,51551
605 MAIN ST,MINEOLA,IA,51554
109 N VINE ST,GLENWOOD,IA,51534
417 MAIN ST,SILVER CITY,IA,51571
18793 HWY 9,OSAGE,IA,50461
307 WOODLAND AVE,RICEVILLE,IA,50466
307 WOODLAND AVE,RICEVILLE,IA,50466
515 CHASE ST,OSAGE,IA,50461
515 CHASE ST,OSAGE,IA,50461
504 MAIN ST,OSAGE,IA,50461
504 MAIN ST,OSAGE,IA,50461
416 WILLIAM ST,CARPENTER,IA,50426
18793 HWY 9,OSAGE,IA,50461
202 SOUTH WASHINGTON STREET,ST ANSGAR,IA,50472
106 N BROAD ST,STACEYVILLE,IA,50476
610 IOWA AVE,ONAWA,IA,51040
103 PINE ST,CASTANA,IA,51010
513 MAIN ST,MAPLETON,IA,51034
320 10TH ST,ONAWA,IA,51040
108 OAK ST,SOLDIER,IA,51572
610 IOWA AVE,ONAWA,IA,51040
320 10TH ST,ONAWA,IA,51040
320 10TH ST,ONAWA,IA,51040
707 IOWA AVE,ONAWA,IA,51040
413 MAIN ST,BLENCOE,IA,51523
103 W MAIN ST,UTE,IA,51060
503 B AVE EAST,ALBIA,IA,52531
503 B AVE EAST,ALBIA,IA,52531
503 B AVE EAST,ALBIA,IA,52531
503 B AVE EAST,ALBIA,IA,52531
503 B AVE EAST,ALBIA,IA,52531
608 WEST 17TH STREET,LOVILIA,IA,50150
503 B AVE EAST,ALBIA,IA,52531
2011 N 8TH ST,RED OAK,IA,51566
2011 N 8TH ST,RED OAK,IA,51566
2011 N 8TH ST,RED OAK,IA,51566
403 MAIN ST,ELLIOTT,IA,51532
102 U AVE,GRANT,IA,50847
501 ELLIOTT ST,STANTON,IA,51573
406 E 3RD ST,VILLISCA,IA,50864
2900 MULBERRY AVE.,MUSCATINE,IA,52761
104 SAND RUN RD.,FRUITLAND,IA,52749
3300 CEDAR ST.,MUSCATINE,IA,52761
318 COMMERCE ST.,STOCKTON,IA,52769
122 3RD ST.,ATALISSA,IA,52720
621 KINDLER AVE.,MUSCATINE,IA,52761
403 E. 9TH ST.,MUSCATINE,IA,52761
3211 MULBERRY AVE.,MUSCATINE,IA,52761
408 E. 2ND ST.,MUSCATINE,IA,52761
152 COLORADO ST.,MUSCATINE,IA,52761
600 KINDLER AVE.,MUSCATINE,IA,52761
210 TAYLOR ST.,MUSCATINE,IA,52761
705 BARRY AVE.,MUSCATINE,IA,52761
1820 1ST AVE.,MUSCATINE,IA,52761
901 CEDAR ST.,MUSCATINE,IA,52761
102 3RD ST.,CONESVILLE,IA,52739
429 IJEM AVE.,NICHOLS,IA,52766
2427 INDEPENDENCE AVE.,LETTS,IA,52754
1002 CYPRESS ST.,WILTON,IA,52778
1204 N. CALHOUN ST.,WEST LIBERTY,IA,52776
1204 N. CALHOUN ST.,WEST LIBERTY,IA,52776
149 COLORADO ST.,MUSCATINE,IA,52761
1002 CYPRESS ST.,WILTON,IA,52778
416 NINTH STREET,SHELDON,IA,51201
225 MAIN STREET,SANBORN,IA,51248
91 FIRST STREET SE,HARTLEY,IA,51346
416 NINTH STREET,SHELDON,IA,51201
416 NINTH STREET,SHELDON,IA,51201
416 NINTH STREET,SHELDON,IA,51201
155 THIRD STREET NE,PRIMGHAR,IA,51245
307 W GROESBECK STREET,PAULLINA,IA,51046
509 S BEECH STREET,SUTHERLAND,IA,51058
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
612 8TH ST,SIBLEY,IA,51249
305 E GLEN MILLER DR,CLARINDA,IA,51632
305 E GLENN MILLER DRIVE,CLARINDA,IA,51632
111 FORBES ST,ESSEX,IA,51638
307 MAIN ST.,SHAMBAUGH,IA,51651
506 DEPOT ST,COIN,IA,51636
800 W SHERIDAN AVE,SHENANDOAH,IA,51601
601 DR CREIGHTON CIR,SHENANDOAH,IA,51601
601 DR CREIGHTON CIR,SHENANDOAH,IA,51601
3200 COLLEGE DR,EMMETSBURG,IA,50536
3200 COLLEGE DR,EMMETSBURG,IA,50536
3200 COLLEGE DR,EMMETSBURG,IA,50536
3200 COLLEGE DR,EMMETSBURG,IA,50536
1503 ROLLING ST,RUTHVEN,IA,51358
316 S BROADWAY AVE,WEST BEND,IA,50597
850 KERR DRIVE,AKRON,IA,51001
511 ROOSEVELT ST,REMSEN,IA,51050
305 OAK STREET,BRUNSVILLE,IA,51008
977 3RD AVENUE SW,LE MARS,IA,51031
205 W. MAIN STREET,HINTON,IA,51024
322 QUEST AVENUE,KINGSLEY,IA,51028
608 MAIN STREET,MERRILL,IA,51038
935 PARK LANE,LE MARS,IA,51031
921 3RD AVENUE SW,LE MARS,IA,51031
921 3RD AVENUE SW,LE MARS,IA,51031
22504 C60,HINTON,IA,51024
511 ROOSEVELT ST,REMSEN,IA,51050
215 LINDEN ST,WESTFIELD,IA,51062
702 NW 7TH ST,POCAHONTAS,IA,50574
119 N MAIN ST,FONDA,IA,50540
319 GARFIELD,ROLFE,IA,50581
702 NW 7TH ST,POCAHONTAS,IA,50574
205 2ND AVE NW,POCAHONTAS,IA,50574
205 2ND AVE NW,POCAHONTAS,IA,50574
300 W GARFIELD,LAURENS,IA,50554
315 NE 141ST AVE,ALLEMAN,IA,50007
5701 SE 66TH PL,CARLISLE,IA,50047
910 7TH AVE SE,ALTOONA,IA,50009
910 7TH AVE SE,ALTOONA,IA,50009
300 17TH AVE SW,ALTOONA,IA,50009
8325 NE UNIVERSITY AVE,PLEASANT HILL,IA,50327
301 6TH ST SW,ALTOONA,IA,50009
1020 SW CHERRY ST,ANKENY,IA,50023
2600 NW ASH DRIVE,ANKENY,IA,50023
1350 SW VINTAGE PKWY,ANKENY,IA,50023
1900 NW 4TH ST,ANKENY,IA,50023
2405 SE CREEKVIEW DR,ANKENY,IA,50023
1850 SW COLLEGE AVE,ANKENY,IA,50023
1055 SW PRARIE TRAIL PKWY,ANKENY,IA,50023
710 NE 36TH ST,ANKENY,IA,50021
1705 NE TRILEIN DR,ANKENY,IA,50021
3800 NW ABILENE BLVD,ANKENY,IA,50023
710 SE 3RD ST,ANKENY,IA,50023
1005 SE TRILEIN DR,ANKENY,IA,50021
2006 S ANKENY BLVD,ANKENY,IA,50023
2920 NW 9TH ST,ANKENY,IA,50023
2006 S ANKENY BLVD,ANKENY,IA,50023
700 GARFIELD ST SW,BONDURANT,IA,50035
700 GARFIELD ST SW,BONDURANT,IA,50035
8325 NE UNIVERSITY AVE,PLEASANT HILL,IA,50327
8505 HARBACH BLVD,CLIVE,IA,50325
8355 FRANKLIN AVE,CLIVE,IA,50325
9401 INDIAN HILLS DR,CLIVE,IA,50325
14300 HICKMAN RD,CLIVE,IA,50325
2910 SW APPLEWOOD ST,ANKENY,IA,50023
406 SW SCHOOL ST,ANKENY,IA,50023
2006 S ANKENY BLVD,DES MOINES,IA,50313
4401 E 46TH ST,DES MOINES,IA,50317
2900 E 42ND ST,DES MOINES,IA,50317
3929 BELL AIRE RD,DES MOINES,IA,50310
4827 MADISON AVE,DES MOINES,IA,50310
3716 50TH ST,DES MOINES,IA,50310
3716 50TH ST,DES MOINES,IA,50310
