Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"23932 MEADOW RD",ADEL,IA,50003,41.599784,-94.014633,1,rooftop,23932,"Meadow Rd",Adel,IA,"Dallas County",50003,US,Polk
"306 W 3RD ST",WOODWARD,IA,50276,41.855976,-93.926113,1,rooftop,306,"W 3rd St",Woodward,IA,"Dallas County",50276,US,Polk
"605 SE BOONE DR",WAUKEE,IA,50263,41.606706,-93.832211,1,rooftop,605,"SE Boone Dr",Waukee,IA,"Dallas County",50263,US,Polk
"605 SE BOONE DR",WAUKEE,IA,50263,41.606706,-93.832211,1,rooftop,605,"SE Boone Dr",Waukee,IA,"Dallas County",50263,US,Polk
"801 NILE KINNICK DR",ADEL,IA,50003,41.610454,-94.016738,1,range_interpolation,801,"Us Hwy 169",Adel,IA,"Dallas County",50003,US,"TIGER/Line® dataset from the US Census Bureau"
"317 SPRUCE ST","DE SOTO",IA,50069,41.535781,-94.009334,1,range_interpolation,317,"Spruce St","De Soto",IA,"Dallas County",50069,US,"TIGER/Line® dataset from the US Census Bureau"
"1375 HIGH ST",REDFIELD,IA,50233,41.592368,-94.197615,0.6,street_center,,"High St",Redfield,IA,"Dallas County",50233,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 18TH ST",PERRY,IA,50220,41.839242,-94.082146,1,range_interpolation,1200,"18th St",Perry,IA,"Dallas County",50220,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 18TH ST",PERRY,IA,50220,41.843395,-94.096817,1,rooftop,1600,"18th St",Perry,IA,"Dallas County",50220,US,Dallas
"1200 18TH ST",PERRY,IA,50220,41.839242,-94.082146,1,range_interpolation,1200,"18th St",Perry,IA,"Dallas County",50220,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 8TH ST",PERRY,IA,50220,41.844273,-94.096744,1,range_interpolation,1600,"8th St",Perry,IA,"Dallas County",50220,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 VINE ST","DALLAS CENTER",IA,50063,41.680681,-93.961258,1,rooftop,1400,"Vine St","Dallas Center",IA,"Dallas County",50063,US,Polk
"1375 HIGH ST",REDFIELD,IA,50233,41.592368,-94.197615,0.6,street_center,,"High St",Redfield,IA,"Dallas County",50233,US,"TIGER/Line® dataset from the US Census Bureau"
"200 SE 37TH ST",GRIMES,IA,50111,41.656608,-93.791442,1,rooftop,200,"SE 37th St",Grimes,IA,"Polk County",50111,US,Polk
"200 SE 37TH ST",GRIMES,IA,50111,41.656608,-93.791442,1,rooftop,200,"SE 37th St",Grimes,IA,"Polk County",50111,US,Polk
"5050 170TH ST",URBANDALE,IA,50323,41.625632,-93.79365,0.33,place,,,Urbandale,IA,"Polk County",50323,US,"TIGER/Line® dataset from the US Census Bureau"
"910 MAIN ST","VAN METER",IA,50261,41.617502,-94.019377,0.8,rooftop,910,"Main St",Adel,IA,"Dallas County",50003,US,Polk
"2200 STATE STREET",GRANGER,IA,50109,41.761756,-93.820649,1,rooftop,2200,"State St",Granger,IA,"Dallas County",50109,US,Polk
"400 LOCUST ST",WAUKEE,IA,50263,41.610581,-93.886866,0.6,street_center,,"Locust St",Waukee,IA,"Dallas County",50263,US,"TIGER/Line® dataset from the US Census Bureau"
"16400 DOUGLAS PKWY",CLIVE,IA,50325,41.627468,-93.844578,1,rooftop,16400,"Douglas Pkwy",Clive,IA,"Dallas County",50325,US,Polk
"1200 WARRIOR LANE",WAUKEE,IA,50263,41.599644,-93.874231,1,rooftop,1200,"Warrior Ln",Waukee,IA,"Dallas County",50263,US,Polk
"16400 DOUGLAS PKWY",CLIVE,IA,50325,41.627468,-93.844578,1,rooftop,16400,"Douglas Pkwy",Clive,IA,"Dallas County",50325,US,Polk
"1200 WARRIOR LN",WAUKEE,IA,50263,41.599644,-93.874231,1,rooftop,1200,"Warrior Ln",Waukee,IA,"Dallas County",50263,US,Polk
"400 LOCUST ST",WAUKEE,IA,50263,41.610581,-93.886866,0.6,street_center,,"Locust St",Waukee,IA,"Dallas County",50263,US,"TIGER/Line® dataset from the US Census Bureau"
"6075 MILLS CIVIC PKWY","WEST DES MOINES",IA,50266,41.559311,-93.792335,1,rooftop,6075,"Mills Civic Pkwy","West Des Moines",IA,"Dallas County",50266,US,Dallas
"No data","No data",IA,,42.281924,-94.110777,1,place,,,Dayton,IA,"Webster County",50530,US,"TIGER/Line® dataset from the US Census Bureau"
"33365 335TH ST",WAUKEE,IA,50263,41.558321,-93.840588,1,rooftop,33365,"335th St",Waukee,IA,"Dallas County",50263,US,Dallas
"33365 335TH ST",WAUKEE,IA,50263,41.558321,-93.840588,1,rooftop,33365,"335th St",Waukee,IA,"Dallas County",50263,US,Dallas
"9155 ASHWORTH RD","WEST DES MOINES",IA,50266,41.584324,-93.781061,0.6,street_center,,"Ashworth Rd","West Des Moines",IA,"Polk County",50266,US,"TIGER/Line® dataset from the US Census Bureau"
"6075 MILLS CIVIC PKWY","WEST DES MOINES",IA,50266,41.559311,-93.792335,1,rooftop,6075,"Mills Civic Pkwy","West Des Moines",IA,"Dallas County",50266,US,Dallas
"1120 S 95TH ST","WEST DES MOINES",IA,50266,41.549745,-93.84029,1,rooftop,1120,"S 95th St","West Des Moines",IA,"Dallas County",50266,US,Polk
"1120 S 95TH ST","WEST DES MOINES",IA,50266,41.549745,-93.84029,1,rooftop,1120,"S 95th St","West Des Moines",IA,"Dallas County",50266,US,Polk
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"503 E LOCUST ST",BLOOMFIELD,IA,52537,40.752829,-92.405836,1,range_interpolation,503,"E Locust St",Bloomfield,IA,"Davis County",52537,US,"TIGER/Line® dataset from the US Census Bureau"
"1 UNIVERSITY PL.",LAMONI,IA,50140,40.616372,-93.922942,1,rooftop,1,"University Pl",Lamoni,IA,"Decatur County",50140,US,Decatur
"209 N. BRIDGE ST.","DAVIS CITY",IA,50065,40.639581,-93.808495,0.8,rooftop,209,"Bridge St","Davis City",IA,"Decatur County",50065,US,Decatur
"1201 NE POPLAR ST.",LEON,IA,50144,40.748152,-93.743004,1,rooftop,1201,"NE Poplar St",Leon,IA,"Decatur County",50144,US,Decatur
"1201 NE POPLAR ST.",LEON,IA,50144,40.748152,-93.743004,1,rooftop,1201,"NE Poplar St",Leon,IA,"Decatur County",50144,US,Decatur
"1201 NE POPLAR ST.",LEON,IA,50144,40.748152,-93.743004,1,rooftop,1201,"NE Poplar St",Leon,IA,"Decatur County",50144,US,Decatur
"1201 NE POPLAR ST.",LEON,IA,50144,40.748152,-93.743004,1,rooftop,1201,"NE Poplar St",Leon,IA,"Decatur County",50144,US,Decatur
"122 BROADWAY ST.","GRAND RIVER",IA,50108,40.818185,-93.962541,1,rooftop,122,"Broadway St","Grand River",IA,"Decatur County",50108,US,Decatur
"210 MAIN ST",RYAN,IA,52330,42.351412,-91.482315,1,rooftop,210,"Main St",Ryan,IA,"Delaware County",52330,US,Delaware
"409 EAST ST",EDGEWOOD,IA,52035,42.639273,-91.197753,1,rooftop,409,"East St",Colesburg,IA,"Delaware County",52035,US,Delaware
"1001 DOCTOR ST",MANCHESTER,IA,52057,42.493306,-91.450546,1,rooftop,1001,"Doctor St",Manchester,IA,"Delaware County",52057,US,Delaware
"107 SOUTH ST",DELHI,IA,52223,42.426725,-91.328413,1,rooftop,107,"South St",Delhi,IA,"Delaware County",52223,US,Delaware
"409 EAST ST.",EDGEWOOD,IA,52035,42.639273,-91.197753,1,rooftop,409,"East St",Colesburg,IA,"Delaware County",52035,US,Delaware
"1001 DOCTOR ST",MANCHESTER,IA,52057,42.493306,-91.450546,1,rooftop,1001,"Doctor St",Manchester,IA,"Delaware County",52057,US,Delaware
"1001 DOCTOR ST",MANCHESTER,IA,52057,42.493306,-91.450546,1,rooftop,1001,"Doctor St",Manchester,IA,"Delaware County",52057,US,Delaware
"1001 DOCTOR ST",MANCHESTER,IA,52057,42.493306,-91.450546,1,rooftop,1001,"Doctor St",Manchester,IA,"Delaware County",52057,US,Delaware
"1001 DOCTOR ST",MANCHESTER,IA,52057,42.493306,-91.450546,1,rooftop,1001,"Doctor St",Manchester,IA,"Delaware County",52057,US,Delaware
"226 PROSPECT ST",EARLVILLE,IA,52041,42.482464,-91.276043,1,range_interpolation,226,"Prospect St",Earlville,IA,"Delaware County",52041,US,"TIGER/Line® dataset from the US Census Bureau"
"117 N CENTER ST",DUNDEE,IA,52038,42.579077,-91.546911,1,rooftop,117,"N Center St",Dundee,IA,"Delaware County",52038,US,Delaware
"115 S 1ST ST",HOPKINTON,IA,52237,42.34346,-91.247378,0.9,rooftop,115,"1st St SE",Hopkinton,IA,"Delaware County",52237,US,Delaware
"725 N NORTHFIELD ST",MEDIAPOLIS,IA,52601,41.01393,-91.161004,0.9,rooftop,725,"N Northfield St",Mediapolis,IA,"Des Moines County",52637,US,"Des Moines"
"419 S MAIN ST",DANVILLE,IA,52623,40.860466,-91.315493,1,rooftop,419,"S Main St",Danville,IA,"Des Moines County",52623,US,"Des Moines"
"16282 US 34","WEST BURLINGTON",IA,52655,40.827511,-91.242941,1,rooftop,16282,"Dmc Hwy 34","West Burlington",IA,"Des Moines County",52655,US,"Des Moines"
"725 N NORTHFIELD ST",MEDIAPOLIS,IA,52601,41.01393,-91.161004,0.9,rooftop,725,"N Northfield St",Mediapolis,IA,"Des Moines County",52637,US,"Des Moines"
"20454 EASTERN AVE",YARMOUTH,IA,,41.026616,-91.32244,1,rooftop,20454,"Eastern Ave",Yarmouth,IA,"Des Moines County",52660,US,"Des Moines"
"3075 SUNNYSIDE AVE",BURLINGTON,IA,52601,40.83299,-91.138606,1,rooftop,3075,"Sunnyside Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"2040 SUNNYSIDE AVE",BURLINGTON,IA,52601,40.832518,-91.11806,1,rooftop,2040,"Sunnyside Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"709 SOUTH STARR",BURLINGTON,IA,52601,40.802034,-91.123343,1,rooftop,709,"S Starr Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"421 TERRACE DRIVE",BURLINGTON,IA,52601,40.805518,-91.13644,1,rooftop,421,"Terrace Dr",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"800 SOUTH ST",BURLINGTON,IA,52601,40.796919,-91.107479,1,rooftop,800,"South St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"2804 S 14TH ST",BURLINGTON,IA,52601,40.777188,-91.112196,1,rooftop,2804,"S 14th St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"3000 MASON ROAD",BURLINGTON,IA,52601,40.796385,-91.136138,1,rooftop,3000,"Mason Rd",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"2132 MADISON AVE.",BURLINGTON,IA,52601,40.785782,-91.106558,1,rooftop,2132,"Madison Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"2040 SUNNYSIDE AVE",BURLINGTON,IA,52601,40.832518,-91.11806,1,rooftop,2040,"Sunnyside Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"3000 MASON ROAD",BURLINGTON,IA,52601,40.796385,-91.136138,1,rooftop,3000,"Mason Rd",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
"408 W VAN WEISS BLVD","WEST BURLINGTON",IA,52655,40.818129,-91.161255,1,rooftop,408,"W Van Weiss Blvd","West Burlington",IA,"Des Moines County",52655,US,"Des Moines"
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"1600 15TH ST.","SPIRIT LAKE",IA,51360,43.4256,-95.113846,1,rooftop,1600,"15th St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"806 N AVE",MILFORD,IA,51351,43.323337,-95.151281,1,rooftop,806,"N Ave",Milford,IA,"Dickinson County",51351,US,Dickinson
"51 N GRANDVIEW AVE",DUBUQUE,IA,52001,42.492453,-90.687098,1,rooftop,51,"N Grandview Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"1068 CEDAR CROSS RD.",DUBUQUE,IA,52003,42.479366,-90.708841,1,rooftop,1068,"Cedar Cross Rd",Dubuque,IA,"Dubuque County",52003,US,Dubuque
"2001 RADFORD RD",DUBUQUE,IA,52002,42.505528,-90.752337,1,rooftop,2001,"Radford Rd",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"3715 PENNSYLVANIA AVE",DUBUQUE,IA,52202,42.501479,-90.733845,0.9,rooftop,3715,"Pennsylvania Ave",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"2135 WOODLAND DR.",DUBUQUE,IA,52002,42.508858,-90.723447,1,rooftop,2135,"Woodland Dr",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"3170 SPRING VALLEY RD.",DUBUQUE,IA,52001,42.520767,-90.718453,1,rooftop,3170,"Spring Valley Rd",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"3259 ST. ANNE DR.",DUBUQUE,IA,52001,42.50275,-90.719489,1,range_interpolation,3259,"St Anne Dr",Dubuque,IA,"Dubuque County",52001,US,"TIGER/Line® dataset from the US Census Bureau"
"2310 CHANEY RD",DUBUQUE,IA,52001,42.511662,-90.704141,1,rooftop,2310,"Chaney Rd",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"LORAS BLVD/ COX ST",DUBUQUE,IA,52001,42.503351,-90.678208,1,intersection,,"Cox St",Dubuque,IA,"Dubuque County",52001,US,"TIGER/Line® dataset from the US Census Bureau"
"2520 PENNSYLVANIA AVE",DUBUQUE,IA,52001,42.499078,-90.702889,1,rooftop,2520,"Pennsylvania Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"2540 CENTRAL AVE",DUBUQUE,IA,52001,42.518848,-90.674408,1,rooftop,2540,"Central Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"3450 CENTRAL AVE",DUBUQUE,IA,52001,42.529564,-90.684109,1,rooftop,3450,"Central Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"801 DAVIS ST",DUBUQUE,IA,52001,42.530272,-90.670091,1,rooftop,801,"Davis St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"605 LINCOLN AVE",DUBUQUE,IA,52001,42.515395,-90.666101,1,rooftop,605,"Lincoln Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"1450 RHOMBERG AVE",DUBUQUE,IA,52001,42.522497,-90.657304,1,rooftop,1450,"Rhomberg Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"1151 WHITE ST",DUBUQUE,IA,52001,42.504551,-90.66583,1,rooftop,1151,"White St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"700 MAIN ST",DUBUQUE,IA,52001,42.50022,-90.66668,1,rooftop,700,"Main St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"1800 CLARKE DR",DUBUQUE,IA,52001,42.506516,-90.690613,1,rooftop,1800,"Clarke Dr",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"51 N GRANDVIEW AVE",DUBUQUE,IA,52001,42.492453,-90.687098,1,rooftop,51,"N Grandview Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"1280 RUSH ST",DUBUQUE,IA,52003,42.485791,-90.676976,1,rooftop,1280,"Rush St",Dubuque,IA,"Dubuque County",52003,US,Dubuque
"15766 CLOVER LANE",ASBURY,IA,52002,42.514332,-90.795151,0.9,range_interpolation,15766,"Clover Ln",Dubuque,IA,"Dubuque County",52002,US,"TIGER/Line® dataset from the US Census Bureau"
"2007 RADFORD RD",DUBUQUE,IA,52002,42.506991,-90.754219,1,rooftop,2007,"Radford Rd",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"505 JOHNSON ST. NW",CASCADE,IA,52033,42.301203,-91.018467,1,rooftop,505,"Johnson St NW",Cascade,IA,"Dubuque County",52033,US,Dubuque
"8342 NICC DR.",PEOSTA,IA,52068,42.444903,-90.845705,1,rooftop,8342,"Nicc Dr",Peosta,IA,"Dubuque County",52068,US,Dubuque
"1992 MAIN ST","NEW VIENNA",IA,52065,42.547804,-91.113919,1,rooftop,1992,"Main St","New Vienna",IA,"Dubuque County",52065,US,Dubuque
"12015 SHERRILL RD",DUBUQUE,IA,52002,42.568287,-90.721425,1,rooftop,12015,"Sherrill Rd",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"203 2ND ST. SW",DYERSVILLE,IA,52040,42.483581,-91.126981,1,rooftop,203,"2nd St SW",Dyersville,IA,"Dubuque County",52040,US,Dubuque
"203 2ND ST SW",DYERSVILLE,IA,52040,42.483581,-91.126981,1,rooftop,203,"2nd St SW",Dyersville,IA,"Dubuque County",52040,US,Dubuque
"216 1ST AVE. WEST",WORTHINGTON,IA,52078,42.39686,-91.121129,1,rooftop,216,"1st Ave W",Worthington,IA,"Dubuque County",52078,US,Dubuque
"204 1ST AVE NW",FARLEY,IA,52041,42.427488,-91.327293,0.9,rooftop,204,"1st St",Delhi,IA,"Delaware County",52223,US,Delaware
"201 JACOBY DR. E",EPWORTH,IA,52045,42.440826,-90.929186,1,rooftop,201,"Jacoby Dr E",Epworth,IA,"Dubuque County",52045,US,Dubuque
"563 BALLTOWN RD",SHERILL,IA,52073,42.639157,-90.869326,1,rooftop,563,"Balltown Rd",Sherrill,IA,"Dubuque County",52073,US,Dubuque
"100 TOWER DR",DUBUQUE,IA,52003,42.460016,-90.679696,1,rooftop,100,"Tower Dr",Dubuque,IA,"Dubuque County",52003,US,Dubuque
"547 ROLUS ST",BERNARD,IA,52032,42.314068,-90.831227,1,rooftop,547,"Rolus St",Bernard,IA,"Dubuque County",52032,US,Dubuque
"14569 OLD HWY RD",DUBUQUE,IA,52002,42.482799,-90.771156,1,rooftop,14569,"Old Highway Rd",Dubuque,IA,"Dubuque County",52002,US,Dubuque
"519 6TH ST","ARMSTRONG IA",IA,50514,43.395657,-94.480401,1,rooftop,519,"6th St",Armstrong,IA,"Emmet County",50514,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"5 W MAPLE ST",RINGSTED,IA,50578,43.295569,-94.5092,1,rooftop,5,"W Maple St",Ringsted,IA,"Emmet County",50578,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,0.9,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"300 S 18TH ST",ESTHERVILLE,IA,51334,43.397304,-94.818002,1,rooftop,300,"S 18th St",Estherville,IA,"Emmet County",51334,US,Emmet
"101 W MAIN ST","ST. LUCAS",IA,52166,43.066711,-91.933245,1,range_interpolation,101,"W Main St","Saint Lucas",IA,"Fayette County",52166,US,"TIGER/Line® dataset from the US Census Bureau"
"305 PEMBER ST",MAYNARD,IA,50655,42.770563,-91.880128,1,range_interpolation,305,"Pember St",Maynard,IA,"Fayette County",50655,US,"TIGER/Line® dataset from the US Census Bureau"
"113 E MAIN HAWKEYE",HAWKEYE,IA,52147,42.9386,-91.95203,1,range_interpolation,113,"E Main St",Hawkeye,IA,"Fayette County",52147,US,"TIGER/Line® dataset from the US Census Bureau"
"605 WASHINGTON ST",FAYETTE,IA,52142,42.838744,-91.800654,1,range_interpolation,605,"Washington St",Fayette,IA,"Fayette County",52142,US,"TIGER/Line® dataset from the US Census Bureau"
"23493 CANOE RD",ELGIN,IA,52141,42.973613,-91.651987,1,range_interpolation,23493,"Canoe Rd",Elgin,IA,"Fayette County",52141,US,"TIGER/Line® dataset from the US Census Bureau"
"210 N VINE ST","WEST UNION",IA,52175,42.962794,-91.808053,1,range_interpolation,210,"N Vine St","West Union",IA,"Fayette County",52175,US,"TIGER/Line® dataset from the US Census Bureau"
"103 1ST AVE SW",WAUCOMA,IA,52171,43.0549,-92.034701,1,range_interpolation,103,"1st Ave SW",Waucoma,IA,"Fayette County",52171,US,"TIGER/Line® dataset from the US Census Bureau"
"116 MAIN ST E",FAIRBANK,IA,50629,42.63916,-92.050979,1,range_interpolation,116,"Main St E",Fairbank,IA,"Buchanan County",50629,US,"TIGER/Line® dataset from the US Census Bureau"
"3202 40TH ST",ARLINGTON,IA,50606,42.6875,-91.646067,0.9,range_interpolation,3202,"40th St",Arlington,IA,"Fayette County",50606,US,"TIGER/Line® dataset from the US Census Bureau"
"305 PEMBER ST",MAYNARD,IA,50655,42.770563,-91.880128,1,range_interpolation,305,"Pember St",Maynard,IA,"Fayette County",50655,US,"TIGER/Line® dataset from the US Census Bureau"
"136 MILL ST",WADENA,IA,52169,42.840155,-91.656787,0.9,range_interpolation,136,"S Mill St",Wadena,IA,"Fayette County",52169,US,"TIGER/Line® dataset from the US Census Bureau"
"111 8TH AVE NE",OELWEIN,IA,50662,42.679958,-91.902613,1,range_interpolation,111,"8th Ave NE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"300 12TH AVE SE",OELWEIN,IA,50662,42.675298,-91.89779,1,range_interpolation,300,"12th Ave SE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"300 12TH AVE SE",OELWEIN,IA,50662,42.675298,-91.89779,1,range_interpolation,300,"12th Ave SE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"300 12TH AVE SE",OELWEIN,IA,50662,42.675298,-91.89779,1,range_interpolation,300,"12th Ave SE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"300 12TH AVE SE",OELWEIN,IA,50662,42.675298,-91.89779,1,range_interpolation,300,"12th Ave SE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"111 8TH AVE NE",OELWEIN,IA,50662,42.679958,-91.902613,1,range_interpolation,111,"8th Ave NE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"23493 CANOE ROAD",ELGIN,IA,52141,42.973613,-91.651987,1,range_interpolation,23493,"Canoe Rd",Elgin,IA,"Fayette County",52141,US,"TIGER/Line® dataset from the US Census Bureau"
"111 8TH AVE NE",OELWEIN,IA,50662,42.679958,-91.902613,1,range_interpolation,111,"8th Ave NE",Oelwein,IA,"Fayette County",50662,US,"TIGER/Line® dataset from the US Census Bureau"
"305 PEMBER ST",MAYNARD,IA,50655,42.770563,-91.880128,1,range_interpolation,305,"Pember St",Maynard,IA,"Fayette County",50655,US,"TIGER/Line® dataset from the US Census Bureau"
"210 N VINE ST","WEST UNION",IA,52175,42.962794,-91.808053,1,range_interpolation,210,"N Vine St","West Union",IA,"Fayette County",52175,US,"TIGER/Line® dataset from the US Census Bureau"
"212 S VINE ST","WEST UNION",IA,52175,42.959402,-91.808299,1,range_interpolation,212,"S Vine St","West Union",IA,"Fayette County",52175,US,"TIGER/Line® dataset from the US Census Bureau"
"114 N VINE ST","WEST UNION",IA,52175,42.962058,-91.808031,1,range_interpolation,114,"N Vine St","West Union",IA,"Fayette County",52175,US,"TIGER/Line® dataset from the US Census Bureau"
"205 N VINE ST","WEST UNION",IA,52175,42.962711,-91.808355,1,range_interpolation,205,"N Vine St","West Union",IA,"Fayette County",52175,US,"TIGER/Line® dataset from the US Census Bureau"
"605 WASHINGTON ST",FAYETTE,IA,52142,42.838744,-91.800654,1,range_interpolation,605,"Washington St",Fayette,IA,"Fayette County",52142,US,"TIGER/Line® dataset from the US Census Bureau"
